Jonathan Taylor,268.7732185520997
Cooper Kupp,248.66934674473654
Deebo Samuel,228.4785134469738
Najee Harris,215.58842454364807
Justin Jefferson,240.13294987596709
Austin Ekeler,196.96516019733502
Davante Adams,221.59624210209813
Joe Mixon,191.50058043104946
Ja'Marr Chase,220.23822434037706
Nick Chubb,200.97550024746278
Dalvin Cook,216.9507467410284
Mark Andrews,190.5458715940446
Alvin Kamara,224.56209372139017
Tyreek Hill,216.94078546471252
Antonio Gibson,185.75304636625862
Ezekiel Elliott,184.3172039289677
Leonard Fournette,209.09536319265266
Stefon Diggs,187.1282715338001
Josh Jacobs,187.98826667185958
Javonte Williams,173.13684396318703
Diontae Johnson,191.4232700632841
D.J. Moore,193.95127356507194
Aaron Jones,183.13440803245342
Tyler Lockett,163.3739995769889
CeeDee Lamb,197.49231232499932
Cordarrelle Patterson,130.96415763035085
David Montgomery,198.28124190820148
Mike Williams,166.25974461770159
Keenan Allen,185.34816781377532
Melvin Gordon,157.12829288357094
Travis Kelce,175.9849970899033
James Conner,160.54215567936947
Michael Pittman Jr.,175.3982505669025
Chris Godwin,200.42017260625758
AJ Dillon,143.13536053135368
Elijah Mitchell,190.90454137837702
Devin Singletary,141.7893745696203
Derrick Henry,224.02957000497253
Tee Higgins,200.41565339057314
Darnell Mooney,170.42486070985123
D'Andre Swift,207.9201525411845
Terry McLaurin,163.32395578458392
Damien Harris,144.93166353870765
Brandin Cooks,174.3936860206855
Tony Pollard,146.28151672668002
Mike Evans,173.6052087501037
Hunter Renfrow,159.89251231576065
Kyle Pitts,165.1008593835915
Jaylen Waddle,196.3432066444247
Marquise Brown,165.27748371424764
Darrel Williams,120.92125628275734
Christian Kirk,154.72979743036515
James Robinson,169.818493690151
D.K. Metcalf,172.27830013296864
Sony Michel,125.75056996528757
Amon-Ra St. Brown,175.9671220569752
Michael Carter,164.92109996944646
Chase Claypool,169.58561089142844
George Kittle,166.72455629792336
Kendrick Bourne,124.47137641317838
DeVonta Smith,148.4226472180629
Miles Sanders,162.25589894563288
Chase Edmonds,149.43414836863514
A.J. Brown,183.6912226489975
Jakobi Meyers,137.89669597755363
Amari Cooper,155.81258114602292
Darrell Henderson,142.18632226188072
Devontae Booker,100.17868174968402
Saquon Barkley,182.04615375197716
Tyler Boyd,147.79024564457092
A.J. Green,119.14532370137218
Myles Gaskin,125.83729152659252
Brandon Aiyuk,148.08811595298812
Marvin Jones,117.25011325763118
Dallas Goedert,131.64534515330655
Van Jefferson,120.1782832841324
Dalton Schultz,119.33057181573662
Rob Gronkowski,150.1025095819196
Rashaad Penny,131.3753663834418
Chuba Hubbard,118.50498225567422
Christian McCaffrey,249.76169881710914
Jalen Hurts,90.26983260815598
Mike Gesicki,121.13268621080196
Courtland Sutton,126.90155556169782
Russell Gage,135.8334278375367
Zach Ertz,122.61880748079368
Lamar Jackson,109.02508349153678
Devonta Freeman,121.0132770248294
Josh Allen,84.43122558759848
Mike Davis,95.59175272417562
Jamaal Williams,119.54088909691683
Mecole Hardman,125.92520564008353
Tim Patrick,109.15768790764204
Rhamondre Stevenson,127.08226759753671
Adam Thielen,135.13373870868463
Alexander Mattison,112.78262207075345
Mark Ingram,117.72934516332641
Marquez Callaway,115.53872868228538
Cole Beasley,105.20028569183938
D'Onta Foreman,120.67805705952458
D'Ernest Johnson,74.55178526789847
Noah Fant,126.37631395457724
K.J. Osborn,101.8535101746248
Darren Waller,137.21688454315472
Laviska Shenault Jr.,136.6662425411973
Emmanuel Sanders,107.70872043381756
Quez Watkins,113.94073947637308
Clyde Edwards-Helaire,148.0313072931854
Brandon Bolden,71.16104957891707
Rex Burkhead,71.04451119860553
Cedrick Wilson Jr.,100.81687846252467
Cole Kmet,105.43143067040444
Deonte Harris,110.06035128596747
Ty Johnson,97.01080194550741
Jarvis Landry,143.2852539413103
J.D. McKissic,122.00777295038378
Kalif Raymond,92.21904879762457
Hunter Henry,108.78775131374402
Robert Woods,160.0647414680958
Donovan Peoples-Jones,117.58345972759236
Tyler Conklin,87.06882198596001
Elijah Moore,162.8632507669166
Dawson Knox,100.64696993137383
Nyheim Hines,107.4459630333116
T.J. Hockenson,142.0710376193538
Latavius Murray,91.3788849622734
DeAndre Hopkins,162.7285076012845
Bryan Edwards,100.37020262389262
Byron Pringle,80.38464042260291
Jared Cook,83.00996359421927
Tyler Higbee,99.04377035476126
Kareem Hunt,168.40951541915155
Robby Anderson,113.55132970356763
Odell Beckham Jr.,137.55344693825214
Antonio Brown,190.6208373035643
Gabriel Davis,112.97546499077318
Zay Jones,89.15245500277368
Kenyan Drake,124.437759868301
Allen Lazard,105.54167162057152
Kenneth Gainwell,102.26521990967427
Justin Jackson,97.7139037430441
Zack Moss,109.47629649377734
Khalil Herbert,84.17039059786751
Kenny Golladay,109.39876706667536
Rashod Bateman,135.29007019566998
DeVante Parker,134.09663447479986
Rondale Moore,127.48947565154015
Alex Collins,93.71185429077441
Gerald Everett,91.38551054702216
Pat Freiermuth,114.29326631419589
C.J. Uzomah,84.45748137200984
Corey Davis,136.73611076188388
Ronald Jones II,93.21218665794561
Henry Ruggs III,149.2315688852088
Nelson Agholor,91.1494650451605
Jalen Guyton,92.73192694476288
David Njoku,91.82195741361183
Nick Westbrook-Ikhine,84.98583798426517
Braxton Berrios,84.74771413574908
Jerry Jeudy,138.0366531433581
DeSean Jackson,78.14689685555365
Boston Scott,73.11478947377249
Ameer Abdullah,69.80862871317537
David Johnson,115.89436968736428
Keelan Cole,81.72837679539975
Jamison Crowder,111.60602144692123
